,date,object_code,trips
731,2022-02-14,024Y,528314
732,2022-02-15,024Y,631892
733,2022-02-16,024Y,731959
734,2022-02-17,024Y,640806
735,2022-02-18,024Y,634570
736,2022-02-19,024Y,602479
737,2022-02-20,024Y,571510
738,2022-02-21,024Y,623827
739,2022-02-22,024Y,629870
740,2022-02-23,024Y,654266
741,2022-02-24,024Y,686351
742,2022-02-25,024Y,672173
743,2022-02-26,024Y,671161
744,2022-02-27,024Y,615582
745,2022-02-28,024Y,666836
746,2022-03-01,024Y,579416
747,2022-03-02,024Y,780846
748,2022-03-03,024Y,718625
749,2022-03-04,024Y,696960
750,2022-03-05,024Y,653607
751,2022-03-06,024Y,643292
752,2022-03-07,024Y,815806
753,2022-03-08,024Y,866989
754,2022-03-09,024Y,813091
755,2022-03-10,024Y,787290
756,2022-03-11,024Y,741431
757,2022-03-12,024Y,658510
758,2022-03-13,024Y,517402
759,2022-03-14,024Y,585364
760,2022-03-15,024Y,532128
761,2022-03-16,024Y,479380
762,2022-03-17,024Y,549578
763,2022-03-18,024Y,473794
764,2022-03-19,024Y,416105
765,2022-03-20,024Y,394559
766,2022-03-21,024Y,422590
767,2022-03-22,024Y,381854
768,2021-11-14,025Y,578934
769,2021-11-15,025Y,538156
770,2021-11-16,025Y,464967
771,2021-11-17,025Y,450162
772,2021-11-18,025Y,451025
773,2021-11-19,025Y,451339
774,2021-11-20,025Y,391396
775,2021-11-21,025Y,300476
776,2021-11-22,025Y,383110
777,2021-11-23,025Y,417495
778,2021-11-24,025Y,463309
779,2021-11-25,025Y,457592
780,2021-11-26,025Y,448940
781,2021-11-28,025Y,314597
782,2021-11-29,025Y,384270
783,2021-11-30,025Y,414181
784,2021-12-01,025Y,445169
785,2021-12-02,025Y,452650
786,2021-12-03,025Y,465620
787,2021-12-04,025Y,381939
788,2021-12-05,025Y,307165
789,2021-12-06,025Y,386851
790,2021-12-07,025Y,429107
791,2021-12-08,025Y,449898
792,2021-12-09,025Y,463428
793,2021-12-10,025Y,463098
794,2021-12-11,025Y,389546
795,2021-12-12,025Y,312664
796,2021-12-13,025Y,577531
797,2021-12-14,025Y,669258
798,2021-12-15,025Y,574341
799,2021-12-16,025Y,524473
800,2021-12-17,025Y,490652
801,2021-12-18,025Y,398262
802,2021-12-19,025Y,301117
803,2021-12-20,025Y,380951
804,2021-12-21,025Y,428933
805,2021-12-22,025Y,459241
806,2021-12-23,025Y,461341
807,2021-12-24,025Y,514335
808,2021-12-25,025Y,396802
809,2021-12-26,025Y,308698
810,2021-12-27,025Y,400553
811,2021-12-28,025Y,446149
812,2021-12-29,025Y,682898
813,2021-12-30,025Y,677739
814,2021-12-31,025Y,660392
815,2022-01-01,025Y,516417
816,2022-01-02,025Y,370998
817,2022-01-03,025Y,373782
818,2022-01-04,025Y,509591
819,2022-01-05,025Y,646893
820,2022-01-06,025Y,669071
821,2022-01-07,025Y,682710
822,2022-01-08,025Y,589162
823,2022-01-09,025Y,473479
824,2022-01-10,025Y,566819
825,2022-01-11,025Y,673394
826,2022-01-12,025Y,798225
827,2022-01-13,025Y,802356
828,2022-01-14,025Y,767724
829,2022-01-15,025Y,671842
830,2022-01-16,025Y,596969
831,2022-01-17,025Y,687320
832,2022-01-18,025Y,767161
833,2022-01-19,025Y,795443
834,2022-01-20,025Y,811110
835,2022-01-21,025Y,773685
836,2022-01-22,025Y,741072
837,2022-01-23,025Y,631485
838,2022-01-24,025Y,762551
839,2022-01-25,025Y,835838
840,2022-01-26,025Y,825653
841,2022-01-27,025Y,783145
842,2022-01-28,025Y,688065
843,2022-01-29,025Y,529861
844,2022-01-30,025Y,363496
845,2022-01-31,025Y,215365
846,2022-02-01,025Y,122438
847,2022-02-02,025Y,84482
848,2022-02-03,025Y,90362
849,2022-02-04,025Y,115936
850,2022-02-05,025Y,148922
