,object_code,predicted_datetime,predict_value,version,input_version,flags,record_time,inc_day,model_version,object_type
148,024Y,2022-02-26,696557.6959134509,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-26,T28-prophet,pickup
149,024Y,2022-02-27,671864.4229726607,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-27,T28-prophet,pickup
150,024Y,2022-02-28,679950.6063566228,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-28,T28-prophet,pickup
151,024Y,2022-03-01,702469.7461740471,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-01,T28-prophet,pickup
152,024Y,2022-03-02,739301.3020446977,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-02,T28-prophet,pickup
153,024Y,2022-03-03,736208.8510354133,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-03,T28-prophet,pickup
154,024Y,2022-03-04,708680.7736646922,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-04,T28-prophet,pickup
155,024Y,2022-03-05,706199.4596970878,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-05,T28-prophet,pickup
156,024Y,2022-03-06,681506.1867562933,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-06,T28-prophet,pickup
157,024Y,2022-03-07,689592.370140292,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-07,T28-prophet,pickup
158,024Y,2022-03-08,712111.5099577273,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-08,T28-prophet,pickup
159,024Y,2022-03-09,748943.0658282811,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-09,T28-prophet,pickup
160,024Y,2022-03-10,745850.6148190493,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-10,T28-prophet,pickup
161,024Y,2022-03-11,718322.5374482834,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-11,T28-prophet,pickup
162,024Y,2022-03-12,715841.2234807102,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-12,T28-prophet,pickup
163,024Y,2022-03-13,691147.9505399208,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-13,T28-prophet,pickup
164,024Y,2022-03-14,699234.1339238888,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-14,T28-prophet,pickup
165,024Y,2022-03-15,721753.273741371,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-15,T28-prophet,pickup
166,024Y,2022-03-16,758584.8296119247,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-16,T28-prophet,pickup
167,024Y,2022-03-17,755492.378602685,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-17,T28-prophet,pickup
168,024Y,2022-03-18,727964.3012319357,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-18,T28-prophet,pickup
169,024Y,2022-03-19,725482.9872643468,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-19,T28-prophet,pickup
170,024Y,2022-03-20,700789.7143235483,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-20,T28-prophet,pickup
171,024Y,2022-03-21,708875.8977075348,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-21,T28-prophet,pickup
172,024Y,2022-03-22,731395.037525088,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-22,T28-prophet,pickup
173,024Y,2022-03-23,768226.5933955681,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-23,T28-prophet,pickup
174,025Y,2022-02-23,603726.4802554774,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-23,T28-prophet,pickup
175,025Y,2022-02-24,604640.1397999809,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-24,T28-prophet,pickup
176,025Y,2022-02-25,597928.3437876567,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-25,T28-prophet,pickup
177,025Y,2022-02-26,525602.5492005075,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-26,T28-prophet,pickup
178,025Y,2022-02-27,449277.03565048624,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-27,T28-prophet,pickup
179,025Y,2022-02-28,513160.57489015843,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-28,T28-prophet,pickup
180,025Y,2022-03-01,567117.7203839403,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-01,T28-prophet,pickup
181,025Y,2022-03-02,610188.817311999,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-02,T28-prophet,pickup
182,025Y,2022-03-03,611102.4768564845,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-03,T28-prophet,pickup
183,025Y,2022-03-04,604390.6808442089,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-04,T28-prophet,pickup
184,025Y,2022-03-05,532064.8862569785,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-05,T28-prophet,pickup
185,025Y,2022-03-06,455739.37270699494,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-06,T28-prophet,pickup
186,025Y,2022-03-07,519622.91194673587,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-07,T28-prophet,pickup
187,025Y,2022-03-08,573580.0574405087,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-08,T28-prophet,pickup
188,025Y,2022-03-09,616651.154368482,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-09,T28-prophet,pickup
189,025Y,2022-03-10,617564.8139130359,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-10,T28-prophet,pickup
190,025Y,2022-03-11,610853.0179006075,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-11,T28-prophet,pickup
191,025Y,2022-03-12,538527.2233133831,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-12,T28-prophet,pickup
192,025Y,2022-03-13,462201.7097635467,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-13,T28-prophet,pickup
193,025Y,2022-03-14,526085.2490029953,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-14,T28-prophet,pickup
194,025Y,2022-03-15,580042.3944970543,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-15,T28-prophet,pickup
195,025Y,2022-03-16,623113.4914250036,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-16,T28-prophet,pickup
196,025Y,2022-03-17,624027.1509695875,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-17,T28-prophet,pickup
197,025Y,2022-03-18,617315.3549571597,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-18,T28-prophet,pickup
198,025Y,2022-03-19,544989.5603698542,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-19,T28-prophet,pickup
199,025Y,2022-03-20,468664.0468200984,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-20,T28-prophet,pickup
200,025Y,2022-03-21,532547.5860595843,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-21,T28-prophet,pickup
201,025Y,2022-03-22,586504.7315536452,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-22,T28-prophet,pickup
202,025Y,2022-03-23,629575.8284815252,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-23,T28-prophet,pickup
203,027Y,2022-02-23,787024.9322335101,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-23,T28-prophet,pickup
